[2025-04-25 18:35:49] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:35:52] Trap triggered by 'chair'. Open for 2s, cooldown 10s.
[2025-04-25 18:36:11] Trap triggered by 'chair'. Open for 2s, cooldown 10s.
[2025-04-25 18:36:19] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:36:21] Trap triggered by 'chair'. Open for 2s, cooldown 10s.
[2025-04-25 18:36:32] Trap triggered by 'chair'. Open for 2s, cooldown 10s.
[2025-04-25 18:36:42] Trap triggered by 'chair'. Open for 2s, cooldown 10s.
[2025-04-25 18:37:22] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:37:23] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:37:42] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:37:53] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:38:02] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:38:23] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:38:24] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:38:43] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:38:54] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:39:04] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:39:24] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:39:25] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:39:44] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
[2025-04-25 18:39:55] Trap triggered by 'person'. Open for 1s, cooldown 30s.
[2025-04-25 18:40:05] Trap triggered by 'bottle'. Open for 1s, cooldown 20s.
